,date,cases
0,2020-01-21,1
1,2020-01-22,1
2,2020-01-23,1
3,2020-01-24,1
4,2020-01-25,1
5,2020-01-26,1
6,2020-01-27,1
7,2020-01-28,1
8,2020-01-29,1
9,2020-01-30,1
10,2020-01-31,1
11,2020-02-01,1
12,2020-02-02,1
13,2020-02-03,1
14,2020-02-04,1
15,2020-02-05,1
16,2020-02-06,1
17,2020-02-07,1
18,2020-02-08,1
19,2020-02-09,1
20,2020-02-10,1
21,2020-02-11,1
22,2020-02-12,1
23,2020-02-13,1
24,2020-02-14,1
25,2020-02-15,1
26,2020-02-16,1
27,2020-02-17,1
28,2020-02-18,1
29,2020-02-19,1
30,2020-02-20,1
31,2020-02-21,1
32,2020-02-22,1
33,2020-02-23,1
34,2020-02-24,5
35,2020-02-25,5
36,2020-02-26,5
37,2020-02-27,5
38,2020-02-28,7
39,2020-02-29,10
40,2020-03-01,17
41,2020-03-02,23
42,2020-03-03,32
43,2020-03-04,47
44,2020-03-05,75
45,2020-03-06,86
46,2020-03-07,110
47,2020-03-08,141
48,2020-03-09,179
49,2020-03-10,279
50,2020-03-11,338
51,2020-03-12,419
52,2020-03-13,511
53,2020-03-14,609
54,2020-03-15,675
55,2020-03-16,794
56,2020-03-17,908
57,2020-03-18,1026
58,2020-03-19,1228
59,2020-03-20,1404
60,2020-03-21,1655
61,2020-03-22,1844
62,2020-03-23,2101
63,2020-03-24,2469
64,2020-03-25,2585
65,2020-03-26,3208
66,2020-03-27,3770
67,2020-03-28,4311
68,2020-03-29,4897
69,2020-03-30,5180
70,2020-03-31,5293
71,2020-04-01,5589
72,2020-04-02,6586
73,2020-04-03,6967
74,2020-04-04,7499
75,2020-04-05,7985
76,2020-04-06,8385
77,2020-04-07,8683
78,2020-04-08,9098
79,2020-04-09,9609
80,2020-04-10,9888
81,2020-04-11,10227
82,2020-04-12,10414
83,2020-04-13,10547
84,2020-04-14,10711
85,2020-04-15,10806
86,2020-04-16,11180
87,2020-04-17,11479
88,2020-04-18,11850
89,2020-04-19,11864
90,2020-04-20,12255
91,2020-04-21,12410
92,2020-04-22,12606
93,2020-04-23,12981
94,2020-04-24,13197
95,2020-04-25,13565
96,2020-04-26,13744
97,2020-04-27,13958
98,2020-04-28,14165
99,2020-04-29,14490
100,2020-04-30,14814
101,2020-05-01,15134
102,2020-05-02,15383
103,2020-05-03,15943
104,2020-05-04,16047
105,2020-05-05,16234
106,2020-05-06,16873
107,2020-05-07,17187
108,2020-05-08,17477
109,2020-05-09,17629
110,2020-05-10,17781
111,2020-05-11,18172
112,2020-05-12,18382
113,2020-05-13,18492
114,2020-05-14,18861
115,2020-05-15,19131
116,2020-05-16,19336
117,2020-05-17,19514
118,2020-05-18,19756
119,2020-05-19,19988
120,2020-05-20,20110
121,2020-05-21,20280
122,2020-05-22,20526
123,2020-05-23,20740
124,2020-05-24,20989
125,2020-05-25,21265
126,2020-05-26,21538
127,2020-05-27,21825
128,2020-05-28,22091
129,2020-05-29,22377
130,2020-05-30,22618
131,2020-05-31,22814
132,2020-06-01,23272
133,2020-06-02,23608
134,2020-06-03,23776
135,2020-06-04,23999
136,2020-06-05,24546
